review,restaurant
The wait staff was terrible. A delightful surprise.,True
The chef was mediocre. Waste of money.,True
The battery is interesting. Do not watch.,False
This restaurant looked perfect. Highly recommended.,True
Our experience ended up being amazing. I would come back.,True
The plot felt slow. Loved every minute.,False
Our experience felt delicious. Not worth the hype.,True
The wait staff looked perfect. Highly recommended.,True
The menu tasted excellent. A delightful surprise.,True
The ambiance was bland. Never going back.,True
