review,restaurant
The wait staff was terrible. A delightful surprise.,True
The chef was mediocre. Waste of money.,True
The battery is interesting. Do not watch.,False
This restaurant looked perfect. Highly recommended.,True
Our experience ended up being amazing. I would come back.,True
The plot felt slow. Loved every minute.,False
Our experience felt delicious. Not worth the hype.,True
The wait staff looked perfect. Highly recommended.,True
The menu tasted excellent. A delightful surprise.,True
The ambiance was bland. Never going back.,True
The screen felt fast. Not recommended.,False
Our experience seemed overpriced. Never going back.,True
The soup tasted awful. A delightful surprise.,True
The acting seemed boring. Do not watch.,False
The book performed slow. Do not watch.,False
The camera looked innovative. Not recommended.,False
The engine was slow. Great value.,False
The ambiance ended up being awful. I would come back.,True
The dessert is terrible. Absolutely loved it.,True
The dessert felt terrible. Waste of money.,True
The ambiance was bland. I would come back.,True
The appetizer looked perfect. I would come back.,True
The acting felt slow. Too expensive.,False
The acting performed smooth. Great value.,False
The camera seemed interesting. Too expensive.,False
This restaurant tasted awful. Highly recommended.,True
The engine seemed ugly. Total waste of time.,False
The book felt smooth. Highly rated.,False
The camera looked smooth. Too expensive.,False
The movie is slow. Highly rated.,False
The engine functioned great. Needs improvement.,False
The customer support looked ugly. Highly rated.,False
This restaurant felt outstanding. Not worth the hype.,True
The plot performed terrible. Too expensive.,False
The software seemed ugly. Not recommended.,False
The pizza ended up being fantastic. Could be better.,True
The food is terrible. Never going back.,True
The software is innovative. Loved every minute.,False
The keyboard felt smooth. A must buy.,False
The camera is reliable. Loved every minute.,False
The plot is interesting. Great value.,False
The food is undercooked. Highly recommended.,True
The plot was fast. Loved every minute.,False
The appetizer felt amazing. Never going back.,True
The screen felt interesting. Total waste of time.,False
The pizza looked awful. Highly recommended.,True
The ambiance seemed excellent. A delightful surprise.,True
The ambiance ended up being delicious. Never going back.,True
My meal was fantastic. I would come back.,True
The pizza ended up being amazing. Highly recommended.,True
The wait staff was perfect. Absolutely loved it.,True
My meal felt terrible. 5 stars!,True
The book was reliable. Needs improvement.,False
The menu is awful. Could be better.,True
The plot functioned great. Highly rated.,False
This restaurant was overpriced. A delightful surprise.,True
The book looked smooth. Highly rated.,False
The food seemed disappointing. Could be better.,True
The plot is boring. Highly rated.,False
The pizza felt delicious. A delightful surprise.,True
The engine performed terrible. Highly rated.,False
The food ended up being terrible. Never going back.,True
This app felt great. Too expensive.,False
The plot was outdated. Very useful.,False
This phone functioned fast. Loved every minute.,False
The camera was innovative. Too expensive.,False
The plot seemed slow. Very useful.,False
The steak was fantastic. A delightful surprise.,True
The acting is slow. Do not watch.,False
The appetizer felt undercooked. Not worth the hype.,True
This phone felt innovative. Very useful.,False
The pasta tasted perfect. A delightful surprise.,True
The appetizer tasted overpriced. A delightful surprise.,True
The plot felt innovative. Loved every minute.,False
Our experience tasted disappointing. A delightful surprise.,True
The book functioned great. Needs improvement.,False
The customer support seemed boring. Needs improvement.,False
The camera looked terrible. Highly rated.,False
The soup seemed outstanding. Could be better.,True
